inflationrate,imports,exports,moneysupplym1,BMI
-7.5,6207.5,2249.75,1032506,73.00
3.2,447.462,180.244,1159470,78.00
4.7,479.778,208.631,1053476,80.30
3.8,530.155,351.125,1372972,82.20
2.9,570.062,472.456,1372035,81.20
2.4,512.375,335.261,1489593,85.50
2.6,630.45,373.029,1701763,90.20
4,815.141,226.975,1816419,92.30
4.6,587.87,377.325,1845027,92.30
3.8,512.171,310.052,1925786,100.80
3.8,500.347,232.719,1952045,99.90
3.1,633.025,324.343,1971692,102.30
2.8,665.502,314.873,2089394,100.90
2.8,532.813,253.927,1965023,101.30
1.9,714.117,244.88,1989202,102.70
0.9,750.208,308.527,2063251,102.40
0.3,576.471,251.81,1959980,102.40
-0.9,499.944,156.414,2074824,104.90
-0.1,497.743,306.1172,2162979,102.70
0.1,546.757,288.1698,2130801,108.60
-0.8,497.629,299.9044,2158787,108.30
-1.2,499.605,233.2537,2121532,103.90
-2.8,532.212,223.6708,2182139,102.90
-3.11,583.677,270.2524,2235534,101.00
-2.47,481.114,267.0496,2428916,100.00
-2.31,478.068,213.1309,3251831,88.80
-1.37,429.588,210.1685,3464855,82.30
-1.33,444.733,304.775,3668058,106.28
-0.93,488.967,339.804,4103729,94.26
0.21,461.765,265.6693,4289916,92.97
0.31,495.15,264.4965,4887139,97.09
0.78,440.004,324.806,5832933,101.39
3.46,556.3,299.8,6346915,102.99
2.68,606.04,288.55,6125040,95.12
2.91,614.6,384.64,7317375,76.79
,,,,
,,,,
,,,,
,,,,
